ECE 0301: Time-Domain Signal Samples
The number of samples is 201
The sample rate is 1000
The initial time is -0.05
Here is your signal: 
t, s(t)
-0.05, -1.000
-0.049, -2.000
-0.048, -2.000
-0.047, -2.000
-0.046, -2.000
-0.045, -2.000
-0.044, -2.000
-0.043, -3.000
-0.042, -3.000
-0.041, -3.000
-0.040, -3.000
-0.039, -3.000
-0.038, -3.000
-0.037, -3.000
-0.036, -3.000
-0.035, -3.000
-0.034, -3.000
-0.033, -3.000
-0.032, -3.000
-0.031, -3.000
-0.030, -3.000
-0.029, -3.000
-0.028, -3.000
-0.027, -3.000
-0.026, -3.000
-0.025, -3.000
-0.024, -2.000
-0.023, -2.000
-0.022, -2.000
-0.021, -2.000
-0.020, -2.000
-0.019, -2.000
-0.018, -1.000
-0.017, -1.000
-0.016, -1.000
-0.015, -1.000
-0.014, -1.000
-0.013, -0.000
-0.012, -0.000
-0.011, 0.000
-0.010, 0.000
-0.009, 1.000
-0.008, 1.000
-0.007, 1.000
-0.006, 1.000
-0.005, 1.000
-0.004, 2.000
-0.003, 2.000
-0.002, 2.000
-0.001, 2.000
-0.000, 2.000
0.001, 2.000
0.002, 2.000
0.003, 3.000
0.004, 3.000
0.005, 3.000
0.006, 3.000
0.007, 3.000
0.008, 3.000
0.009, 3.000
0.010, 3.000
0.011, 3.000
0.012, 3.000
0.013, 3.000
0.014, 3.000
0.015, 3.000
0.016, 3.000
0.017, 3.000
0.018, 3.000
0.019, 3.000
0.020, 3.000
0.021, 2.000
0.022, 2.000
0.023, 2.000
0.024, 2.000
0.025, 2.000
0.026, 2.000
0.027, 1.000
0.028, 1.000
0.029, 1.000
0.030, 1.000
0.031, 1.000
0.032, 0.000
0.033, 0.000
0.034, 0.000
0.035, -0.000
0.036, -0.000
0.037, -1.000
0.038, -1.000
0.039, -1.000
0.040, -1.000
0.041, -1.000
0.042, -2.000
0.043, -2.000
0.044, -2.000
0.045, -2.000
0.046, -2.000
0.047, -2.000
0.048, -3.000
0.049, -3.000
0.050, -3.000
0.051, -3.000
0.052, -3.000
0.053, -3.000
0.054, -3.000
0.055, -3.000
0.056, -3.000
0.057, -3.000
0.058, -3.000
0.059, -3.000
0.060, -3.000
0.061, -3.000
0.062, -3.000
0.063, -3.000
0.064, -3.000
0.065, -3.000
0.066, -2.000
0.067, -2.000
0.068, -2.000
0.069, -2.000
0.070, -2.000
0.071, -2.000
0.072, -2.000
0.073, -1.000
0.074, -1.000
0.075, -1.000
0.076, -1.000
0.077, -1.000
0.078, -0.000
0.079, -0.000
0.080, 0.000
0.081, 0.000
0.082, 1.000
0.083, 1.000
0.084, 1.000
0.085, 1.000
0.086, 1.000
0.087, 2.000
0.088, 2.000
0.089, 2.000
0.090, 2.000
0.091, 2.000
0.092, 2.000
0.093, 2.000
0.094, 3.000
0.095, 3.000
0.096, 3.000
0.097, 3.000
0.098, 3.000
0.099, 3.000
0.100, 3.000
0.101, 3.000
0.102, 3.000
0.103, 3.000
0.104, 3.000
0.105, 3.000
0.106, 3.000
0.107, 3.000
0.108, 3.000
0.109, 3.000
0.110, 3.000
0.111, 3.000
0.112, 2.000
0.113, 2.000
0.114, 2.000
0.115, 2.000
0.116, 2.000
0.117, 2.000
0.118, 1.000
0.119, 1.000
0.120, 1.000
0.121, 1.000
0.122, 1.000
0.123, 0.000
0.124, 0.000
0.125, -0.000
0.126, -0.000
0.127, -0.000
0.128, -1.000
0.129, -1.000
0.130, -1.000
0.131, -1.000
0.132, -1.000
0.133, -2.000
0.134, -2.000
0.135, -2.000
0.136, -2.000
0.137, -2.000
0.138, -2.000
0.139, -3.000
0.140, -3.000
0.141, -3.000
0.142, -3.000
0.143, -3.000
0.144, -3.000
0.145, -3.000
0.146, -3.000
0.147, -3.000
0.148, -3.000
0.149, -3.000
0.150, -3.000
