Default Signal:
N: 100
fs: 200
t0: 300
Signal label: x
Matehmatical Expression: 
x(t): e
Time and signal samples in .csv format
t, x(t)
-------
300, 0
300.005, 0
300.01, 0
300.015, 0
300.02, 0
300.025, 0
300.03, 0
300.035, 0
300.04, 0
300.045, 0
300.05, 0
300.055, 0
300.06, 0
300.065, 0
300.07, 0
300.075, 0
300.08, 0
300.085, 0
300.09, 0
300.095, 0
300.1, 0
300.105, 0
300.11, 0
300.115, 0
300.12, 0
300.125, 0
300.13, 0
300.135, 0
300.14, 0
300.145, 0
300.15, 0
300.155, 0
300.16, 0
300.165, 0
300.17, 0
300.175, 0
300.18, 0
300.185, 0
300.19, 0
300.195, 0
300.2, 0
300.205, 0
300.21, 0
300.215, 0
300.22, 0
300.225, 0
300.23, 0
300.235, 0
300.24, 0
300.245, 0
300.25, 0
300.255, 0
300.26, 0
300.265, 0
300.27, 0
300.275, 0
300.28, 0
300.285, 0
300.29, 0
300.295, 0
300.3, 0
300.305, 0
300.31, 0
300.315, 0
300.32, 0
300.325, 0
300.33, 0
300.335, 0
300.34, 0
300.345, 0
300.35, 0
300.355, 0
300.36, 0
300.365, 0
300.37, 0
300.375, 0
300.38, 0
300.385, 0
300.39, 0
300.395, 0
300.4, 0
300.405, 0
300.41, 0
300.415, 0
300.42, 0
300.425, 0
300.43, 0
300.435, 0
300.44, 0
300.445, 0
300.45, 0
300.455, 0
300.46, 0
300.465, 0
300.47, 0
300.475, 0
300.48, 0
300.485, 0
300.49, 0
300.495, 0
