Default Signal:
N: 51
fs: 200
t0: 0.01
Signal label: y
Matehmatical Expression: 
x(t): 5.00 exp( -(t - 0.01) / 0.25 )
Time and signal samples in .csv format
t, x(t)
-------
0.01, 5
0.015, 4.90099
0.02, 4.80395
0.025, 4.70882
0.03, 4.61558
0.035, 4.52419
0.04, 4.4346
0.045, 4.34679
0.05, 4.26072
0.055, 4.17635
0.06, 4.09365
0.065, 4.01259
0.07, 3.93314
0.075, 3.85526
0.08, 3.77892
0.085, 3.70409
0.09, 3.63075
0.095, 3.55885
0.1, 3.48838
0.105, 3.41931
0.11, 3.3516
0.115, 3.28523
0.12, 3.22018
0.125, 3.15642
0.13, 3.09392
0.135, 3.03265
0.14, 2.9726
0.145, 2.91374
0.15, 2.85605
0.155, 2.79949
0.16, 2.74406
0.165, 2.68972
0.17, 2.63646
0.175, 2.58426
0.18, 2.53308
0.185, 2.48293
0.19, 2.43376
0.195, 2.38557
0.2, 2.33833
0.205, 2.29203
0.21, 2.24664
0.215, 2.20216
0.22, 2.15855
0.225, 2.11581
0.23, 2.07391
0.235, 2.03285
0.24, 1.9926
0.245, 1.95314
0.25, 1.91446
0.255, 1.87656
0.26, 1.8394
