Default Signal:
N: 201
fs: 20
t0: 0.5
Signal label: w
Matehmatical Expression: 
x(t): (0.40 exp( -(t - 0.50) / 2.00 )) + (-0.40 exp( -(t - 0.50) ))
Time and signal samples in .csv format
t, x(t)
-------
0.5, 0
0.55, 0.0096322
0.6, 0.0185568
0.65, 0.0268142
0.7, 0.0344427
0.75, 0.0414784
0.8, 0.0479559
0.85, 0.0539076
0.9, 0.0593643
0.95, 0.0643552
1, 0.068908
1.05, 0.0730489
1.1, 0.0768026
1.15, 0.0801926
1.2, 0.0832411
1.25, 0.0859691
1.3, 0.0883964
1.35, 0.0905419
1.4, 0.0924234
1.45, 0.0940576
1.5, 0.0954605
1.55, 0.096647
1.6, 0.0976315
1.65, 0.0984272
1.7, 0.099047
1.75, 0.0995027
1.8, 0.0998056
1.85, 0.0999665
1.9, 0.0999953
1.95, 0.0999017
2, 0.0996946
2.05, 0.0993823
2.1, 0.098973
2.15, 0.098474
2.2, 0.0978926
2.25, 0.0972352
2.3, 0.0965083
2.35, 0.0957177
2.4, 0.094869
2.45, 0.0939673
2.5, 0.0930177
2.55, 0.0920246
2.6, 0.0909925
2.65, 0.0899254
2.7, 0.0888272
2.75, 0.0877013
2.8, 0.0865512
2.85, 0.0853799
2.9, 0.0841905
2.95, 0.0829856
3, 0.0817679
3.05, 0.0805397
3.1, 0.0793033
3.15, 0.0780607
3.2, 0.0768139
3.25, 0.0755647
3.3, 0.0743148
3.35, 0.0730657
3.4, 0.0718188
3.45, 0.0705756
3.5, 0.0693372
3.55, 0.0681049
3.6, 0.0668795
3.65, 0.0656622
3.7, 0.0644537
3.75, 0.063255
3.8, 0.0620667
3.85, 0.0608895
3.9, 0.0597241
3.95, 0.058571
4, 0.0574306
4.05, 0.0563035
4.1, 0.0551901
4.15, 0.0540906
4.2, 0.0530055
4.25, 0.0519349
4.3, 0.0508791
4.35, 0.0498384
4.4, 0.0488129
4.45, 0.0478026
4.5, 0.0468079
4.55, 0.0458286
4.6, 0.0448649
4.65, 0.0439168
4.7, 0.0429843
4.75, 0.0420675
4.8, 0.0411662
4.85, 0.0402805
4.9, 0.0394103
4.95, 0.0385555
5, 0.0377161
5.05, 0.0368919
5.1, 0.0360828
5.15, 0.0352887
5.2, 0.0345096
5.25, 0.0337451
5.3, 0.0329953
5.35, 0.0322599
5.4, 0.0315388
5.45, 0.0308318
5.5, 0.0301388
5.55, 0.0294596
5.6, 0.028794
5.65, 0.0281418
5.7, 0.0275028
5.75, 0.0268769
5.8, 0.0262638
5.85, 0.0256635
5.9, 0.0250756
5.95, 0.0245
6, 0.0239364
6.05, 0.0233848
6.1, 0.0228449
6.15, 0.0223165
6.2, 0.0217993
6.25, 0.0212933
6.3, 0.0207983
6.35, 0.0203139
6.4, 0.0198401
6.45, 0.0193766
6.5, 0.0189233
6.55, 0.01848
6.6, 0.0180464
6.65, 0.0176225
6.7, 0.0172079
6.75, 0.0168026
6.8, 0.0164063
6.85, 0.0160189
6.9, 0.0156403
6.95, 0.0152701
7, 0.0149083
7.05, 0.0145547
7.1, 0.0142091
7.15, 0.0138714
7.2, 0.0135414
7.25, 0.0132189
7.3, 0.0129038
7.35, 0.0125959
7.4, 0.0122951
7.45, 0.0120013
7.5, 0.0117142
7.55, 0.0114338
7.6, 0.0111598
7.65, 0.0108922
7.7, 0.0106309
7.75, 0.0103756
7.8, 0.0101262
7.85, 0.00988273
7.9, 0.00964491
7.95, 0.00941266
8, 0.00918586
8.05, 0.00896439
8.1, 0.00874813
8.15, 0.00853696
8.2, 0.00833076
8.25, 0.00812944
8.3, 0.00793287
8.35, 0.00774095
8.4, 0.00755358
8.45, 0.00737066
8.5, 0.00719207
8.55, 0.00701773
8.6, 0.00684753
8.65, 0.00668139
8.7, 0.00651921
8.75, 0.00636089
8.8, 0.00620636
8.85, 0.00605552
8.9, 0.00590828
8.95, 0.00576457
9, 0.00562431
9.05, 0.0054874
9.1, 0.00535378
9.15, 0.00522337
9.2, 0.00509609
9.25, 0.00497187
9.3, 0.00485064
9.35, 0.00473233
9.4, 0.00461687
9.45, 0.00450419
9.5, 0.00439423
9.55, 0.00428693
9.6, 0.00418222
9.65, 0.00408003
9.7, 0.00398032
9.75, 0.00388302
9.8, 0.00378807
9.85, 0.00369542
9.9, 0.00360502
9.95, 0.00351681
10, 0.00343074
10.05, 0.00334675
10.1, 0.00326481
10.15, 0.00318485
10.2, 0.00310684
10.25, 0.00303072
10.3, 0.00295645
10.35, 0.00288399
10.4, 0.00281329
10.45, 0.00274432
10.5, 0.00267702
