Default Signal:
N: 501
fs: 100
t0: 0
Signal label: x
Matehmatical Expression: 
x(t): (1.00 exp( -t  )) + (-1.00 exp( -t  / 0.50 ))
Time and signal samples in .csv format
t, x(t)
-------
0, 0
0.01, 0.00985116
0.02, 0.0194092
0.03, 0.028681
0.04, 0.0376731
0.05, 0.046392
0.06, 0.0548441
0.07, 0.0630356
0.08, 0.0709726
0.09, 0.078661
0.1, 0.0861067
0.11, 0.0933153
0.12, 0.100293
0.13, 0.107044
0.14, 0.113574
0.15, 0.11989
0.16, 0.125995
0.17, 0.131894
0.18, 0.137594
0.19, 0.143098
0.2, 0.148411
0.21, 0.153537
0.22, 0.158482
0.23, 0.16325
0.24, 0.167844
0.25, 0.17227
0.26, 0.176531
0.27, 0.180631
0.28, 0.184575
0.29, 0.188365
0.3, 0.192007
0.31, 0.195503
0.32, 0.198857
0.33, 0.202072
0.34, 0.205153
0.35, 0.208103
0.36, 0.210924
0.37, 0.21362
0.38, 0.216195
0.39, 0.218651
0.4, 0.220991
0.41, 0.223219
0.42, 0.225336
0.43, 0.227347
0.44, 0.229254
0.45, 0.231058
0.46, 0.232765
0.47, 0.234374
0.48, 0.235891
0.49, 0.237315
0.5, 0.238651
0.51, 0.239901
0.52, 0.241066
0.53, 0.242149
0.54, 0.243153
0.55, 0.244079
0.56, 0.244929
0.57, 0.245706
0.58, 0.246412
0.59, 0.247049
0.6, 0.247617
0.61, 0.248121
0.62, 0.24856
0.63, 0.248938
0.64, 0.249255
0.65, 0.249514
0.66, 0.249716
0.67, 0.249863
0.68, 0.249956
0.69, 0.249998
0.7, 0.249988
0.71, 0.24993
0.72, 0.249824
0.73, 0.249673
0.74, 0.249476
0.75, 0.249236
0.76, 0.248955
0.77, 0.248632
0.78, 0.24827
0.79, 0.24787
0.8, 0.247432
0.81, 0.246959
0.82, 0.246452
0.83, 0.24591
0.84, 0.245337
0.85, 0.244731
0.86, 0.244096
0.87, 0.243431
0.88, 0.242738
0.89, 0.242018
0.9, 0.241271
0.91, 0.240498
0.92, 0.239702
0.93, 0.238881
0.94, 0.238038
0.95, 0.237172
0.96, 0.236286
0.97, 0.235379
0.98, 0.234453
0.99, 0.233507
1, 0.232544
1.01, 0.231564
1.02, 0.230566
1.03, 0.229553
1.04, 0.228524
1.05, 0.227481
1.06, 0.226424
1.07, 0.225354
1.08, 0.22427
1.09, 0.223175
1.1, 0.222068
1.11, 0.22095
1.12, 0.219821
1.13, 0.218683
1.14, 0.217535
1.15, 0.216378
1.16, 0.215213
1.17, 0.214039
1.18, 0.212859
1.19, 0.211671
1.2, 0.210476
1.21, 0.209276
1.22, 0.208069
1.23, 0.206858
1.24, 0.205641
1.25, 0.20442
1.26, 0.203194
1.27, 0.201965
1.28, 0.200733
1.29, 0.199497
1.3, 0.198258
1.31, 0.197017
1.32, 0.195774
1.33, 0.194529
1.34, 0.193283
1.35, 0.192035
1.36, 0.190786
1.37, 0.189537
1.38, 0.188287
1.39, 0.187037
1.4, 0.185787
1.41, 0.184537
1.42, 0.183288
1.43, 0.18204
1.44, 0.180793
1.45, 0.179547
1.46, 0.178303
1.47, 0.17706
1.48, 0.175819
1.49, 0.17458
1.5, 0.173343
1.51, 0.172109
1.52, 0.170877
1.53, 0.169648
1.54, 0.168422
1.55, 0.167199
1.56, 0.165979
1.57, 0.164762
1.58, 0.163549
1.59, 0.16234
1.6, 0.161134
1.61, 0.159933
1.62, 0.158735
1.63, 0.157541
1.64, 0.156352
1.65, 0.155167
1.66, 0.153986
1.67, 0.15281
1.68, 0.151639
1.69, 0.150472
1.7, 0.14931
1.71, 0.148153
1.72, 0.147001
1.73, 0.145855
1.74, 0.144713
1.75, 0.143577
1.76, 0.142445
1.77, 0.14132
1.78, 0.140199
1.79, 0.139084
1.8, 0.137975
1.81, 0.136871
1.82, 0.135773
1.83, 0.134681
1.84, 0.133594
1.85, 0.132514
1.86, 0.131439
1.87, 0.13037
1.88, 0.129306
1.89, 0.128249
1.9, 0.127198
1.91, 0.126153
1.92, 0.125113
1.93, 0.12408
1.94, 0.123053
1.95, 0.122032
1.96, 0.121017
1.97, 0.120009
1.98, 0.119006
1.99, 0.11801
2, 0.11702
2.01, 0.116036
2.02, 0.115058
2.03, 0.114087
2.04, 0.113121
2.05, 0.112162
2.06, 0.111209
2.07, 0.110263
