Default Signal:
N: 101
fs: 100
t0: 0
Signal label: x
Matehmatical Expression: 
x(t): 0
Time and signal samples in .csv format
t, x(t)
-------
0, -50102.5
0.01, -50097.5
0.02, -50092.5
0.03, -50087.5
0.04, -50082.5
0.05, -50077.5
0.06, -50072.4
0.07, -50067.4
0.08, -50062.4
0.09, -50057.4
0.1, -50052.4
0.11, -50047.4
0.12, -50042.4
0.13, -50037.4
0.14, -50032.4
0.15, -50027.3
0.16, -50022.3
0.17, -50017.3
0.18, -50012.3
0.19, -50007.3
0.2, -50002.3
0.21, -49997.3
0.22, -49992.3
0.23, -49987.3
0.24, -49982.3
0.25, -49977.2
0.26, -49972.2
0.27, -49967.2
0.28, -49962.2
0.29, -49957.2
0.3, -49952.2
0.31, -49947.2
0.32, -49942.2
0.33, -49937.2
0.34, -49932.2
0.35, -49927.2
0.36, -49922.1
0.37, -49917.1
0.38, -49912.1
0.39, -49907.1
0.4, -49902.1
0.41, -49897.1
0.42, -49892.1
0.43, -49887.1
0.44, -49882.1
0.45, -49877
0.46, -49872
0.47, -49867
0.48, -49862
0.49, -49857
0.5, -49852
0.51, -49847
0.52, -49842
0.53, -49837
0.54, -49832
0.55, -49827
0.56, -49821.9
0.57, -49816.9
0.58, -49811.9
0.59, -49806.9
0.6, -49801.9
0.61, -49796.9
0.62, -49791.9
0.63, -49786.9
0.64, -49781.9
0.65, -49776.8
0.66, -49771.8
0.67, -49766.8
0.68, -49761.8
0.69, -49756.8
0.7, -49751.8
0.71, -49746.8
0.72, -49741.8
0.73, -49736.8
0.74, -49731.8
0.75, -49726.8
0.76, -49721.7
0.77, -49716.7
0.78, -49711.7
0.79, -49706.7
0.8, -49701.7
0.81, -49696.7
0.82, -49691.7
0.83, -49686.7
0.84, -49681.7
0.85, -49676.7
0.86, -49671.6
0.87, -49666.6
0.88, -49661.6
0.89, -49656.6
0.9, -49651.6
0.91, -49646.6
0.92, -49641.6
0.93, -49636.6
0.94, -49631.6
0.95, -49626.5
0.96, -49621.5
0.97, -49616.5
0.98, -49611.5
0.99, -49606.5
1, -49601.5
