Default Signal:
N: 501
fs: 100
t0: -5
Signal label: g
Matehmatical Expression: 
x(t): (1.00 exp( -(t + 5.00) ))(100 cos( 10.0 (t + 5.00)  ) + 20.0 cos( 10.0 (t + 5.00) - 1.57 ))
Time and signal samples in .csv format
t, x(t)
-------
-5, 100
-4.99, 68
-4.98, 12
-4.97, -48
-4.96, -89
-4.95, -95
-4.94, -65
-4.93, -11
-4.92, 46
-4.91, 85
-4.9, 90
-4.89, 62
-4.88, 11
-4.87, -44
-4.86, -81
-4.85, -86
-4.84, -59
-4.83, -10
-4.82, 42
-4.81, 77
-4.8, 82
-4.79, 56
-4.78, 10
-4.77, -40
-4.76, -73
-4.75, -78
-4.74, -53
-4.73, -9
-4.72, 38
-4.71, 69
-4.7, 74
-4.69, 51
-4.68, 9
-4.67, -36
-4.66, -66
-4.65, -70
-4.64, -48
-4.63, -8
-4.62, 34
-4.61, 63
-4.6, 67
-4.59, 46
-4.58, 8
-4.57, -32
-4.56, -60
-4.55, -64
-4.54, -44
-4.53, -7
-4.52, 31
-4.51, 57
-4.5, 61
-4.49, 42
-4.48, 7
-4.47, -29
-4.46, -54
-4.45, -58
-4.44, -39
-4.43, -7
-4.42, 28
-4.41, 51
-4.4, 55
-4.39, 38
-4.38, 6
-4.37, -27
-4.36, -49
-4.35, -52
-4.34, -36
-4.33, -6
-4.32, 25
-4.31, 46
-4.3, 50
-4.29, 34
-4.28, 6
-4.27, -24
-4.26, -44
-4.25, -47
-4.24, -32
-4.23, -6
-4.22, 23
-4.21, 42
-4.2, 45
-4.19, 31
-4.18, 5
-4.17, -22
-4.16, -40
-4.15, -43
-4.14, -29
-4.13, -5
-4.12, 21
-4.11, 38
-4.1, 41
-4.09, 28
-4.08, 5
-4.07, -20
-4.06, -36
-4.05, -39
-4.04, -26
-4.03, -5
-4.02, 19
-4.01, 34
-4, 37
-3.99, 25
-3.98, 4
-3.97, -18
-3.96, -33
-3.95, -35
-3.94, -24
-3.93, -4
-3.92, 17
-3.91, 31
-3.9, 33
-3.89, 23
-3.88, 4
-3.87, -16
-3.86, -30
-3.85, -32
-3.84, -22
-3.83, -4
-3.82, 15
-3.81, 28
-3.8, 30
-3.79, 21
-3.78, 4
-3.77, -15
-3.76, -27
-3.75, -29
-3.74, -20
-3.73, -3
-3.72, 14
-3.71, 26
